User_ID,Full Name,Date,Age,Gender,Height (cm),Weight (kg),Steps_Taken,Calories_Burned,Hours_Slept,Water_Intake (Liters),Active_Minutes,Heart_Rate (bpm),Workout_Type,Stress_Level (1-10),Mood
1,Sara Martinez,01-01-2023 00:00,19,Female,191,80,11405,1862,7.021200833,3.440508404,80,84,Yoga,2,Happy
1,Sara Martinez,02-01-2023 00:00,19,Female,191,80,7010,1806,,3.10358995,47,72,Cardio,9,Neutral
1,Sara Martinez,03-01-2023 00:00,19,Female,191,80,18942,2274,8.167816539,3.814842748,46,85,Yoga,6,Sad
1,Sara Martinez,04-01-2023 00:00,19,Female,191,80,13778,2656,7.453551632,3.508635712,105,77,Yoga,2,Sad
1,Sara Martinez,05-01-2023 00:00,19,Female,191,80,10247,3571,5.132653817,,53,61,Yoga,8,Sad
1,Sara Martinez,06-01-2023 00:00,19,Female,191,80,5081,2165,,1.644844004,73,80,Yoga,10,Happy
1,Sara Martinez,07-01-2023 00:00,19,Female,191,80,12078,1756,8.983712993,2.701125357,34,70,Cardio,1,Neutral
1,Sara Martinez,08-01-2023 00:00,19,Female,191,80,18323,3167,6.925078634,2.594055684,102,88,Yoga,3,Neutral
1,Sara Martinez,09-01-2023 00:00,19,Female,191,80,2366,2344,5.007600054,3.800946508,,74,Cardio,5,Stressed
1,Sara Martinez,10-01-2023 00:00,19,Female,191,80,11639,3283,8.61924354,2.017812354,115,80,Yoga,8,Neutral
1,Sara Martinez,11-01-2023 00:00,19,Female,191,80,12493,2263,8.422989271,,111,78,Cardio,8,Neutral
1,Sara Martinez,12-01-2023 00:00,19,Female,191,80,11013,2668,4.920277501,3.908673867,117,,None,3,Happy
1,Sara Martinez,13-01-2023 00:00,19,Female,191,80,12934,2944,4.715378306,2.689044755,45,72,None,7,Sad
1,Sara Martinez,14-01-2023 00:00,19,Female,191,80,15989,3479,6.405837116,1.542476871,,61,Yoga,8,Sad
1,Sara Martinez,15-01-2023 00:00,19,Female,191,80,13838,3134,5.761438983,,105,96,Cardio,10,Sad
1,Sara Martinez,16-01-2023 00:00,19,Female,191,80,2346,3698,,2.686225516,65,80,Strength,10,Happy
1,Sara Martinez,17-01-2023 00:00,19,Female,191,80,14010,2451,4.972929437,3.567179325,41,70,Cardio,7,Happy
1,Sara Martinez,18-01-2023 00:00,19,Female,191,80,19052,3944,5.032022143,3.93647492,80,99,Strength,2,Happy
1,Sara Martinez,19-01-2023 00:00,19,Female,191,80,12843,3994,7.34880067,3.181008659,34,65,Cardio,2,Sad
1,Sara Martinez,20-01-2023 00:00,19,Female,191,80,8875,2523,7.514251382,,40,62,None,7,Stressed
1,Sara Martinez,21-01-2023 00:00,19,Female,191,80,14052,2222,4.770498426,,107,92,None,5,Neutral
1,Sara Martinez,22-01-2023 00:00,19,Female,191,80,18252,2361,6.611213113,3.380362429,119,71,Strength,6,Happy
1,Sara Martinez,23-01-2023 00:00,19,Female,191,80,11314,2113,5.225265938,1.596784971,70,65,Yoga,3,Sad
1,Sara Martinez,24-01-2023 00:00,19,Female,191,80,8031,2598,7.284300307,1.659843502,89,91,None,10,Happy
1,Sara Martinez,25-01-2023 00:00,19,Female,191,80,18372,2480,4.066534921,3.759794905,61,,Yoga,8,Neutral
1,Sara Martinez,26-01-2023 00:00,19,Female,191,80,16831,1588,8.517411881,2.094795241,87,96,None,7,Happy
1,Sara Martinez,27-01-2023 00:00,19,Female,191,80,11654,2069,8.258598109,2.944707991,47,81,None,4,Stressed
1,Sara Martinez,28-01-2023 00:00,19,Female,191,80,16559,2818,,2.18765334,53,88,None,5,Happy
1,Sara Martinez,29-01-2023 00:00,19,Female,191,80,13754,2085,4.293389303,1.913228383,99,71,Cardio,8,Stressed
1,Sara Martinez,30-01-2023 00:00,19,Female,191,80,11886,1741,8.747674649,2.118300699,56,70,Strength,7,Stressed
1,Sara Martinez,31-01-2023 00:00,19,Female,191,80,8267,1616,4.450570754,1.870621062,96,62,Strength,8,Happy
1,Sara Martinez,01-02-2023 00:00,19,Female,191,80,9787,2596,8.208756551,2.221464996,70,90,Yoga,10,Happy
1,Sara Martinez,02-02-2023 00:00,19,Female,191,80,9575,3249,,,70,66,None,10,Neutral
1,Sara Martinez,03-02-2023 00:00,19,Female,191,80,7754,2825,5.305071031,3.074951509,67,93,Strength,1,Neutral
1,Sara Martinez,04-02-2023 00:00,19,Female,191,80,10351,3087,4.166772919,3.632625399,44,89,Yoga,1,Stressed
1,Sara Martinez,05-02-2023 00:00,19,Female,191,80,18453,2053,7.874938726,1.711160002,62,66,Cardio,2,Neutral
1,Sara Martinez,06-02-2023 00:00,19,Female,191,80,7427,3749,7.543248592,1.974668424,65,81,Cardio,4,Stressed
1,Sara Martinez,07-02-2023 00:00,19,Female,191,80,3953,3825,5.899740016,2.862076674,57,95,Cardio,3,Neutral
1,Sara Martinez,08-02-2023 00:00,19,Female,191,80,16095,3026,5.890341567,3.669338918,47,62,Yoga,8,Happy
1,Sara Martinez,09-02-2023 00:00,19,Female,191,80,13084,3566,6.342170617,3.412376265,71,89,None,3,Sad
1,Sara Martinez,10-02-2023 00:00,19,Female,191,80,10803,2550,5.468550442,1.986985511,111,,None,1,Sad
1,Sara Martinez,11-02-2023 00:00,19,Female,191,80,11111,3023,6.811290344,3.980603168,63,85,Yoga,3,Sad
1,Sara Martinez,12-02-2023 00:00,19,Female,191,80,8798,3055,8.414136104,1.856986648,95,97,Strength,9,Neutral
1,Sara Martinez,13-02-2023 00:00,19,Female,191,80,14766,2902,5.201775691,,113,96,Cardio,6,Happy
1,Sara Martinez,14-02-2023 00:00,19,Female,191,80,4067,3071,4.394166024,1.939309459,83,82,Cardio,3,Neutral
1,Sara Martinez,15-02-2023 00:00,19,Female,191,80,12370,2758,4.851528927,3.592153454,36,63,Strength,5,Happy
1,Sara Martinez,16-02-2023 00:00,19,Female,191,80,11994,2958,4.148464441,2.360451293,90,85,Cardio,1,Neutral
1,Sara Martinez,17-02-2023 00:00,19,Female,191,80,15029,2523,8.927240195,2.099883389,31,95,Cardio,7,Neutral
1,Sara Martinez,18-02-2023 00:00,19,Female,191,80,18551,3889,4.649691198,3.782404,80,81,Yoga,4,Stressed
1,Sara Martinez,19-02-2023 00:00,19,Female,191,80,6910,3069,5.01519218,3.773594903,,74,Cardio,1,Sad
1,Sara Martinez,20-02-2023 00:00,19,Female,191,80,15670,2952,5.131336831,,109,,Yoga,5,Neutral
1,Sara Martinez,21-02-2023 00:00,19,Female,191,80,3376,2428,8.695657595,1.721262481,70,,None,8,Sad
1,Sara Martinez,22-02-2023 00:00,19,Female,191,80,8334,3052,4.041134516,,96,63,Strength,3,Happy
1,Sara Martinez,23-02-2023 00:00,19,Female,191,80,7237,3988,4.600418136,2.69274525,105,88,None,5,Neutral
1,Sara Martinez,24-02-2023 00:00,19,Female,191,80,8752,1625,7.357615389,3.785306483,42,,Cardio,10,Stressed
1,Sara Martinez,25-02-2023 00:00,19,Female,191,80,17814,3371,4.738754849,1.583861182,51,79,Strength,3,Happy
1,Sara Martinez,26-02-2023 00:00,19,Female,191,80,4196,2277,5.670239187,,37,60,Cardio,2,Stressed
1,Sara Martinez,27-02-2023 00:00,19,Female,191,80,15499,1971,5.647607244,3.821474036,87,,Cardio,10,Sad
1,Sara Martinez,28-02-2023 00:00,19,Female,191,80,9910,3989,8.074511731,3.419662247,,97,Strength,6,Neutral
1,Sara Martinez,01-03-2023 00:00,19,Female,191,80,2217,3231,4.969738766,1.986202867,111,70,None,2,Sad
1,Sara Martinez,02-03-2023 00:00,19,Female,191,80,19610,2654,8.646594988,2.524477754,113,99,Strength,5,Stressed
1,Sara Martinez,03-03-2023 00:00,19,Female,191,80,3093,1748,6.56683293,3.145198048,71,68,Cardio,10,Happy
1,Sara Martinez,04-03-2023 00:00,19,Female,191,80,5058,2605,4.533056625,2.487384498,69,64,Yoga,8,Neutral
1,Sara Martinez,05-03-2023 00:00,19,Female,191,80,19951,2392,8.242916698,2.560646657,69,85,Cardio,4,Happy
1,Sara Martinez,06-03-2023 00:00,19,Female,191,80,18410,3101,7.698655514,3.248627886,74,64,None,3,Stressed
1,Sara Martinez,07-03-2023 00:00,19,Female,191,80,9528,2698,8.146289286,3.454961212,44,60,Yoga,9,Sad
